75.90.224.18	01001011010110101110000000010010	255.255.255.254	31	0100101101011010111000000001001	77.94.128.1
155.179.178.251	10011011101100111011001011111011	255.255.255.0	24	100110111011001110110010	133.1.1.1
216.74.187.175	11011000010010101011101110101111	255.128.0.0	9	110110000	133.1.1.1
11.150.167.172	00001011100101101010011110101100	255.255.255.0	24	000010111001011010100111	133.1.1.1
217.115.85.192	11011001011100110101010111000000	255.192.0.0	10	1101100101	201.20.200.1
134.140.219.238	10000110100011001101101111101110	255.255.248.0	21	100001101000110011011	201.20.200.1
149.173.109.91	10010101101011010110110101011011	255.255.128.0	17	10010101101011010	77.94.128.1
12.112.172.82	00001100011100001010110001010010	255.255.255.240	28	0000110001110000101011000101	201.20.200.1
193.159.20.136	11000001100111110001010010001000	255.248.0.0	13	1100000110011	133.1.1.1
161.239.228.235	10100001111011111110010011101011	255.255.128.0	17	10100001111011111	77.94.128.1
158.69.115.201	10011110010001010111001111001001	255.255.0.0	16	1001111001000101	133.1.1.1
152.251.161.201	10011000111110111010000111001001	255.255.254.0	23	10011000111110111010000	77.94.128.1
152.172.53.42	10011000101011000011010100101010	255.255.254.0	23	10011000101011000011010	77.94.128.1
207.217.210.88	11001111110110011101001001011000	255.240.0.0	12	110011111101	133.1.1.1
196.153.108.54	11000100100110010110110000110110	255.254.0.0	15	110001001001100	133.1.1.1
197.198.75.87	11000101110001100100101101010111	255.192.0.0	10	1100010111	201.20.200.1
129.238.176.220	10000001111011101011000011011100	255.255.192.0	18	100000011110111010	201.20.200.1
184.50.137.231	10111000001100101000100111100111	255.255.192.0	18	101110000011001010	201.20.200.1
178.94.51.126	10110010010111100011001101111110	255.255.192.0	18	101100100101111000	201.20.200.1
167.198.49.249	10100111110001100011000111111001	255.255.255.0	24	101001111100011000110001	77.94.128.1
186.94.49.115	10111010010111100011000101110011	255.255.248.0	21	101110100101111000110	133.1.1.1
148.212.204.147	10010100110101001100110010010011	255.255.192.0	18	100101001101010011	77.94.128.1
181.250.188.0	10110101111110101011110000000000	255.255.0.0	16	1011010111111010	77.94.128.1
137.224.48.190	10001001111000000011000010111110	255.255.0.0	16	1000100111100000	77.94.128.1
147.72.8.81	10010011010010000000100001010001	255.255.254.0	23	10010011010010000000100	201.20.200.1
188.115.78.172	10111100011100110100111010101100	255.255.252.0	22	1011110001110011010011	133.1.1.1
170.211.15.180	10101010110100110000111110110100	255.255.252.0	22	1010101011010011000011	77.94.128.1
