130.155.96.129	10000010100110110110000010000001	255.255.240.0	20	10000010100110110110	133.1.1.1
206.111.168.240	11001110011011111010100011110000	255.224.0.0	11	11001110011	77.94.128.1
177.199.8.10	10110001110001110000100000001010	255.255.128.0	17	10110001110001110	201.20.200.1
165.76.74.118	10100101010011000100101001110110	255.255.224.0	19	1010010101001100010	201.20.200.1
157.196.96.120	10011101110001000110000001111000	255.255.192.0	18	100111011100010001	133.1.1.1
189.78.208.71	10111101010011101101000001000111	255.255.192.0	18	101111010100111011	201.20.200.1
38.7.219.191	00100110000001111101101110111111	255.255.255.240	28	0010011000000111110110111011	201.20.200.1
141.200.224.228	10001101110010001110000011100100	255.255.128.0	17	10001101110010001	77.94.128.1
145.169.86.144	10010001101010010101011010010000	255.255.252.0	22	1001000110101001010101	133.1.1.1
141.63.76.184	10001101001111110100110010111000	255.255.248.0	21	100011010011111101001	77.94.128.1
190.253.94.214	10111110111111010101111011010110	255.255.240.0	20	10111110111111010101	133.1.1.1
177.144.205.123	10110001100100001100110101111011	255.255.192.0	18	101100011001000011	77.94.128.1
131.56.104.202	10000011001110000110100011001010	255.255.224.0	19	1000001100111000011	133.1.1.1
210.152.67.111	11010010100110000100001101101111	255.224.0.0	11	11010010100	77.94.128.1
111.62.85.17	01101111001111100101010100010001	255.255.255.192	26	01101111001111100101010100	77.94.128.1
184.66.196.16	10111000010000101100010000010000	255.255.128.0	17	10111000010000101	133.1.1.1
139.161.15.198	10001011101000010000111111000110	255.255.254.0	23	10001011101000010000111	133.1.1.1
199.15.60.234	11000111000011110011110011101010	255.128.0.0	9	110001110	77.94.128.1
130.156.146.129	10000010100111001001001010000001	255.255.248.0	21	100000101001110010010	77.94.128.1
167.70.48.218	10100111010001100011000011011010	255.255.252.0	22	1010011101000110001100	133.1.1.1
142.102.25.218	10001110011001100001100111011010	255.255.254.0	23	10001110011001100001100	201.20.200.1
132.122.237.175	10000100011110101110110110101111	255.255.128.0	17	10000100011110101	77.94.128.1
144.228.125.148	10010000111001000111110110010100	255.255.192.0	18	100100001110010001	201.20.200.1
186.47.138.79	10111010001011111000101001001111	255.255.192.0	18	101110100010111110	77.94.128.1
153.164.137.53	10011001101001001000100100110101	255.255.128.0	17	10011001101001001	201.20.200.1
204.94.107.74	11001100010111100110101101001010	255.240.0.0	12	110011000101	201.20.200.1
194.187.15.15	11000010101110110000111100001111	255.248.0.0	13	1100001010111	201.20.200.1
128.199.202.242	10000000110001111100101011110010	255.255.224.0	19	1000000011000111110	77.94.128.1
161.98.239.243	10100001011000101110111111110011	255.255.224.0	19	1010000101100010111	77.94.128.1
157.38.76.227	10011101001001100100110011100011	255.255.240.0	20	10011101001001100100	201.20.200.1
158.38.41.218	10011110001001100010100111011010	255.255.224.0	19	1001111000100110001	77.94.128.1
132.202.7.61	10000100110010100000011100111101	255.255.252.0	22	1000010011001010000001	77.94.128.1
149.248.240.188	10010101111110001111000010111100	255.255.0.0	16	1001010111111000	133.1.1.1
168.49.164.188	10101000001100011010010010111100	255.255.224.0	19	1010100000110001101	133.1.1.1
175.193.133.181	10101111110000011000010110110101	255.255.252.0	22	1010111111000001100001	77.94.128.1
179.35.164.252	10110011001000111010010011111100	255.255.240.0	20	10110011001000111010	77.94.128.1
139.115.137.167	10001011011100111000100110100111	255.255.0.0	16	1000101101110011	201.20.200.1
169.38.109.74	10101001001001100110110101001010	255.255.248.0	21	101010010010011001101	133.1.1.1
62.182.167.70	00111110101101101010011101000110	255.255.255.128	25	0011111010110110101001110	133.1.1.1
134.1.46.253	10000110000000010010111011111101	255.255.192.0	18	100001100000000100	133.1.1.1
161.249.234.151	10100001111110011110101010010111	255.255.240.0	20	10100001111110011110	133.1.1.1
213.171.15.109	11010101101010110000111101101101	255.240.0.0	12	110101011010	201.20.200.1
195.210.81.30	11000011110100100101000100011110	255.252.0.0	14	11000011110100	133.1.1.1
221.169.57.222	11011101101010010011100111011110	255.0.0.0	8	11011101	77.94.128.1
197.171.80.162	11000101101010110101000010100010	255.128.0.0	9	110001011	133.1.1.1
163.99.41.207	10100011011000110010100111001111	255.255.240.0	20	10100011011000110010	77.94.128.1
180.189.205.124	10110100101111011100110101111100	255.255.254.0	23	10110100101111011100110	133.1.1.1
131.180.207.135	10000011101101001100111110000111	255.255.128.0	17	10000011101101001	133.1.1.1
214.222.72.108	11010110110111100100100001101100	255.240.0.0	12	110101101101	133.1.1.1
210.28.45.5	11010010000111000010110100000101	255.192.0.0	10	1101001000	133.1.1.1
210.216.193.37	11010010110110001100000100100101	255.0.0.0	8	11010010	77.94.128.1
131.73.172.185	10000011010010011010110010111001	255.255.254.0	23	10000011010010011010110	201.20.200.1
27.84.25.89	00011011010101000001100101011001	255.255.255.255	32	00011011010101000001100101011001	133.1.1.1
202.121.67.140	11001010011110010100001110001100	255.240.0.0	12	110010100111	133.1.1.1
195.160.168.14	11000011101000001010100000001110	255.248.0.0	13	1100001110100	133.1.1.1
131.131.187.28	10000011100000111011101100011100	255.255.240.0	20	10000011100000111011	77.94.128.1
165.249.84.217	10100101111110010101010011011001	255.255.192.0	18	101001011111100101	77.94.128.1
132.96.111.140	10000100011000000110111110001100	255.255.0.0	16	1000010001100000	77.94.128.1
159.225.43.184	10011111111000010010101110111000	255.255.128.0	17	10011111111000010	133.1.1.1
223.225.158.68	11011111111000011001111001000100	255.255.0.0	16	1101111111100001	201.20.200.1
158.100.221.131	10011110011001001101110110000011	255.255.240.0	20	10011110011001001101	201.20.200.1
162.65.16.137	10100010010000010001000010001001	255.255.0.0	16	1010001001000001	133.1.1.1
